Serial OPM emnulator - serialopm version 0.3.0 (2023/05/10) tantan
--
ymfm Copyright (c) 2021, Aaron Giles
All rights reserved.
--
.reg=7E, data=60
reg=7E, data=60
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=60, data=80
reg=7E, data=60
reg=E6, data=FE
reg=7E, data=60
reg=7E, data=60
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=60, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=60
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=66, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=66
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=66, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=66
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=66, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=66
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=66, data=80
reg=7E, data=60
reg=E6, data=FE
reg=7E, data=60
reg=7E, data=78
reg=80, data=7E
reg=60, data=E6
.reg=FE, data=7E
reg=60, data=7E
reg=78, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=78
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=78, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=60, data=C0
reg=00, data=7E
reg=60, data=80
reg=18, data=06
reg=30, data=06
reg=80, data=86
reg=06, data=98
reg=06, data=80
reg=80, data=80
reg=E6, data=06
reg=18, data=18
reg=80, data=98
reg=06, data=98
reg=86, data=98
reg=66, data=06
reg=80, data=80
reg=98, data=E6
reg=06, data=78
reg=18, data=78
reg=30, data=06
reg=F8, data=86
reg=66, data=66
reg=06, data=80
reg=80, data=F8
reg=E6, data=06
reg=7E, data=86
.reg=00, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=78, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=7E
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=60
reg=C0, data=0C
reg=C0, data=7E
reg=60, data=60
reg=C0, data=3C
reg=C0, data=7E
reg=60, data=7E
reg=7E, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=7E
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=60
reg=C0, data=00
reg=7E, data=60
reg=7E, data=7E
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=7E, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=7E
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=80, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=80
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=80, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=80
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=80
reg=18, data=06
reg=30, data=06
reg=80, data=86
reg=06, data=98
reg=06, data=80
reg=80, data=80
reg=E6, data=06
reg=7E, data=06
reg=06, data=CC
reg=06, data=FE
reg=E6, data=FE
reg=7E, data=60
reg=7E, data=80
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=80, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=86
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=86, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=60, data=C0
reg=00, data=7E
reg=60, data=7E
reg=86, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=86
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=86, data=80
reg=7E, data=60
reg=E6, data=FE
reg=7E, data=60
reg=7E, data=86
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
.reg=60, data=7E
reg=98, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=7E, data=98
reg=80, data=7E
reg=60, data=E6
reg=FE, data=7E
reg=60, data=7E
reg=98, data=80
reg=7E, data=60
reg=E6, data=FE
.reg=7E, data=60
reg=80, data=18
reg=06, data=30
reg=06, data=80
